Name,Specialization,ID,school,year,Generation,advisor_id
Solomon  Lefschetz,artificial-intelligence-and-machine-learning,7461,Clark University,1911,6,7451
Paul Karl Ludwig Drude,artificial-intelligence-and-machine-learning,62397,Georg-August-Universität Göttingen,1887,6,45011
Emil Gabriel Warburg,artificial-intelligence-and-machine-learning,124661,Universität Berlin,1867,6,123973;123978;
Nicolai Vasilievich Bugaev,artificial-intelligence-and-machine-learning,24101,Lomonosov Moscow State University,1866,6,18331;55185;7486;
Ernst Eduard Kummer,artificial-intelligence-and-machine-learning,18331,Martin-Luther-Universität Halle-Wittenberg,1831,6,25484
Joseph  Liouville,artificial-intelligence-and-machine-learning,55185,"Faculté des Sciences, Paris",1836,6,104652;17865;
Karl Theodor Wilhelm Weierstraß,artificial-intelligence-and-machine-learning,7486,Westfälische Wilhelms-Universität Münster,1841,6,29458
C. L. Ferdinand (Carl Louis) Lindemann,artificial-intelligence-and-machine-learning,7404,Friedrich-Alexander-Universität Erlangen-Nürnberg,1873,6,7401
C. L. Ferdinand (Carl Louis) Lindemann,artificial-intelligence-and-machine-learning,7404,Friedrich-Alexander-Universität Erlangen-Nürnberg,1873,6,7401
Emory Leon Chaffee,artificial-intelligence-and-machine-learning,25248,Harvard University,1911,6,141987
William Ross Ham,artificial-intelligence-and-machine-learning,147676,The University of Chicago,1909,6,72167
David Christie Duncan,artificial-intelligence-and-machine-learning,147677,University of Michigan,1924,6,148190
Georges  Valiron,artificial-intelligence-and-machine-learning,73816,Université de Paris,1914,6,39071
Howard Hathaway Aiken,artificial-intelligence-and-machine-learning,18953,Harvard University,1939,6,25248
C. L. Ferdinand (Carl Louis) Lindemann,artificial-intelligence-and-machine-learning,7404,Friedrich-Alexander-Universität Erlangen-Nürnberg,1873,7,7401
C. Felix (Christian) Klein,artificial-intelligence-and-machine-learning,7401,Rheinische Friedrich-Wilhelms-Universität Bonn,1868,7,7402;19964;
John  Trowbridge,artificial-intelligence-and-machine-learning,67041,Harvard University,1873,7,132487
Gaston  Darboux,artificial-intelligence-and-machine-learning,34254,École Normale Supérieure Paris,1866,7,26995
Alonzo  Church,artificial-intelligence-and-machine-learning,8011,Princeton University,1927,7,805
Willard Van Orman Quine,artificial-intelligence-and-machine-learning,73831,Harvard University,1932,7,78732
William  Hopkins,artificial-intelligence-and-machine-learning,42016,University of Cambridge,1830,7,102043
Isaac  Todhunter,artificial-intelligence-and-machine-learning,129420,University of Cambridge,1848,7,42016
H. A. (Hubert Anson) Newton,artificial-intelligence-and-machine-learning,7865,Yale University,1850,7,26995
William Edward Story,artificial-intelligence-and-machine-learning,7451,Universität Leipzig,1875,7,18589;32858;
Woldemar  Voigt,artificial-intelligence-and-machine-learning,45011,Universität Königsberg,1874,7,18600
August Adolph Eduard Eberhard Kundt,artificial-intelligence-and-machine-learning,123973,Universität Berlin,1864,7,123978
Heinrich Gustav Magnus,artificial-intelligence-and-machine-learning,123978,Universität Berlin,1827,7,123999
Ernst Eduard Kummer,artificial-intelligence-and-machine-learning,18331,Martin-Luther-Universität Halle-Wittenberg,1831,7,25484
Joseph  Liouville,artificial-intelligence-and-machine-learning,55185,"Faculté des Sciences, Paris",1836,7,104652;17865;
Karl Theodor Wilhelm Weierstraß,artificial-intelligence-and-machine-learning,7486,Westfälische Wilhelms-Universität Münster,1841,7,29458
Heinrich Ferdinand Scherk,artificial-intelligence-and-machine-learning,25484,Universität Berlin,1823,7,18603;65162;
Louis Jacques Thenard,artificial-intelligence-and-machine-learning,104652,École Polytechnique,que,7,158571
Siméon Denis Poisson,artificial-intelligence-and-machine-learning,17865,École Polytechnique,1800,7,17864;108295;
Christoph  Gudermann,artificial-intelligence-and-machine-learning,29458,Georg-August-Universität Göttingen,1823,7,57667
C. Felix (Christian) Klein,artificial-intelligence-and-machine-learning,7401,Rheinische Friedrich-Wilhelms-Universität Bonn,1868,7,7402;19964;
C. Felix (Christian) Klein,artificial-intelligence-and-machine-learning,7401,Rheinische Friedrich-Wilhelms-Universität Bonn,1868,7,7402;19964;
George Washington Pierce,artificial-intelligence-and-machine-learning,141987,Harvard University,1900,7,67041
Robert Andrews Millikan,artificial-intelligence-and-machine-learning,72167,Columbia University,1895,7,72170;148580;
Ora Stanley Duffendack,artificial-intelligence-and-machine-learning,148190,Princeton University,1922,7,147836
Émile  Borel,artificial-intelligence-and-machine-learning,39071,École Normale Supérieure Paris,1893,7,34254
Emory Leon Chaffee,artificial-intelligence-and-machine-learning,25248,Harvard University,1911,7,141987
C. Felix (Christian) Klein,artificial-intelligence-and-machine-learning,7401,Rheinische Friedrich-Wilhelms-Universität Bonn,1868,8,7402;19964;
Julius  Plücker,artificial-intelligence-and-machine-learning,7402,Philipps-Universität Marburg,1823,8,29642
Rudolf Otto Sigismund Lipschitz,artificial-intelligence-and-machine-learning,19964,Universität Berlin,1853,8,47064;17946;
Joseph  Lovering,artificial-intelligence-and-machine-learning,132487,Harvard University,1833,8,80886
Michel  Chasles,artificial-intelligence-and-machine-learning,26995,École Polytechnique,1814,8,17865
Oswald  Veblen,artificial-intelligence-and-machine-learning,805,The University of Chicago,1903,8,806
Alfred North Whitehead,artificial-intelligence-and-machine-learning,78732,University of Cambridge,1884,8,101929
Adam  Sedgwick,artificial-intelligence-and-machine-learning,102043,University of Cambridge,1811,8,102036;102037;
William  Hopkins,artificial-intelligence-and-machine-learning,42016,University of Cambridge,1830,8,102043
Michel  Chasles,artificial-intelligence-and-machine-learning,26995,École Polytechnique,1814,8,17865
Wilhelm  Scheibner,artificial-intelligence-and-machine-learning,18589,Martin-Luther-Universität Halle-Wittenberg,1848,8,15635
Carl Gottfried Neumann,artificial-intelligence-and-machine-learning,32858,Universität Königsberg,1856,8,57706;46967;
Franz Ernst Neumann,artificial-intelligence-and-machine-learning,18600,Universität Berlin,1825,8,66319
Heinrich Gustav Magnus,artificial-intelligence-and-machine-learning,123978,Universität Berlin,1827,8,123999
Eilhard  Mitscherlich,artificial-intelligence-and-machine-learning,123999,Georg-August-Universität Göttingen,1814,8,123979
Heinrich Ferdinand Scherk,artificial-intelligence-and-machine-learning,25484,Universität Berlin,1823,8,18603;65162;
Louis Jacques Thenard,artificial-intelligence-and-machine-learning,104652,École Polytechnique,que,8,158571
Siméon Denis Poisson,artificial-intelligence-and-machine-learning,17865,École Polytechnique,1800,8,17864;108295;
Christoph  Gudermann,artificial-intelligence-and-machine-learning,29458,Georg-August-Universität Göttingen,1823,8,57667
Friedrich Wilhelm Bessel,artificial-intelligence-and-machine-learning,18603,Georg-August-Universität Göttingen,1810,8,18231
Heinrich Wilhelm Brandes,artificial-intelligence-and-machine-learning,65162,Georg-August-Universität Göttingen,1800,8,65161;66476;
Nicolas Louis Vauquelin,artificial-intelligence-and-machine-learning,158571,,,8,158735
Joseph Louis Lagrange,artificial-intelligence-and-machine-learning,17864,,ee,8,38586;146036;
Pierre-Simon  Laplace,artificial-intelligence-and-machine-learning,108295,Université de Caen Normandie,1769,8,108266
Bernhard Friedrich Thibaut,artificial-intelligence-and-machine-learning,57667,Georg-August-Universität Göttingen,1796,8,65161;66476;
Julius  Plücker,artificial-intelligence-and-machine-learning,7402,Philipps-Universität Marburg,1823,8,29642
Rudolf Otto Sigismund Lipschitz,artificial-intelligence-and-machine-learning,19964,Universität Berlin,1853,8,47064;17946;
Julius  Plücker,artificial-intelligence-and-machine-learning,7402,Philipps-Universität Marburg,1823,8,29642
Rudolf Otto Sigismund Lipschitz,artificial-intelligence-and-machine-learning,19964,Universität Berlin,1853,8,47064;17946;
John  Trowbridge,artificial-intelligence-and-machine-learning,67041,Harvard University,1873,8,132487
Albert Abraham Michelson,artificial-intelligence-and-machine-learning,72170,,D.,8,49057
Ogden  Rood,artificial-intelligence-and-machine-learning,148580,,,8,None
Karl Taylor Compton,artificial-intelligence-and-machine-learning,147836,Princeton University,1912,8,90415
Gaston  Darboux,artificial-intelligence-and-machine-learning,34254,École Normale Supérieure Paris,1866,8,26995
George Washington Pierce,artificial-intelligence-and-machine-learning,141987,Harvard University,1900,8,67041
Julius  Plücker,artificial-intelligence-and-machine-learning,7402,Philipps-Universität Marburg,1823,9,29642
Rudolf Otto Sigismund Lipschitz,artificial-intelligence-and-machine-learning,19964,Universität Berlin,1853,9,47064;17946;
Christian Ludwig Gerling,artificial-intelligence-and-machine-learning,29642,Georg-August-Universität Göttingen,1812,9,18231
Martin  Ohm,artificial-intelligence-and-machine-learning,47064,Friedrich-Alexander-Universität Erlangen-Nürnberg,1811,9,47025
Gustav Peter Lejeune Dirichlet,artificial-intelligence-and-machine-learning,17946,Rheinische Friedrich-Wilhelms-Universität Bonn,1827,9,17981;17865;
Benjamin  Peirce,artificial-intelligence-and-machine-learning,80886,Harvard University,1829,9,147797
Siméon Denis Poisson,artificial-intelligence-and-machine-learning,17865,École Polytechnique,1800,9,17864;108295;
E. H. (Eliakim Hastings) Moore,artificial-intelligence-and-machine-learning,806,Yale University,1885,9,7865
Edward John Routh,artificial-intelligence-and-machine-learning,101929,University of Cambridge,1857,9,42016;129420;
Thomas  Jones,artificial-intelligence-and-machine-learning,102036,University of Cambridge,1782,9,133301;103066;
John  Dawson,artificial-intelligence-and-machine-learning,102037,,,9,129421;129422;
Adam  Sedgwick,artificial-intelligence-and-machine-learning,102043,University of Cambridge,1811,9,102036;102037;
Siméon Denis Poisson,artificial-intelligence-and-machine-learning,17865,École Polytechnique,1800,9,17864;108295;
Carl Gustav Jacob Jacobi,artificial-intelligence-and-machine-learning,15635,Humboldt-Universität zu Berlin,1825,9,41423
