Name,Specialization,ID,school,year,Generation,advisor_id
Christian Ludwig Gerling,software-engineering,29642,Georg-August-Universität Göttingen,1812,9,18231
Gustav Peter Lejeune Dirichlet,software-engineering,17946,Rheinische Friedrich-Wilhelms-Universität Bonn,1827,9,17865;17981;
Martin  Ohm,software-engineering,47064,Friedrich-Alexander-Universität Erlangen-Nürnberg,1811,9,47025
Stephen  Whisson,software-engineering,133367,University of Cambridge,1742,9,133368
Herman  Boerhaave,software-engineering,101856,Universiteit Leiden,1690,9,115155;101858;
Friedrich  Stromeyer,software-engineering,123979,Georg-August-Universität Göttingen,1800,9,76485;158571;
Eilhard  Mitscherlich,software-engineering,123999,Georg-August-Universität Göttingen,1814,9,123979
Christian Samuel Weiss,software-engineering,66319,Universität Leipzig,1801,9,124285;124286;
Eilhard  Mitscherlich,software-engineering,123999,Georg-August-Universität Göttingen,1814,9,123979
Heinrich Gustav Magnus,software-engineering,123978,Universität Berlin,1827,9,123999
Franz Ernst Neumann,software-engineering,18600,Universität Berlin,1825,9,66319
Göran  Dillner,software-engineering,24894,Uppsala Universitet,1863,9,167682
Carl Johan  Malmsten,software-engineering,167682,Uppsala Universitet,1839,9,20543
Michel  Chasles,software-engineering,26995,École Polytechnique,1814,9,17865
Siméon Denis Poisson,software-engineering,17865,École Polytechnique,1800,10,108295;17864;
Adam  Sedgwick,software-engineering,102043,University of Cambridge,1811,10,102036;102037;
William  Hopkins,software-engineering,42016,University of Cambridge,1830,10,102043
Adam  Sedgwick,software-engineering,102043,University of Cambridge,1811,10,102036;102037;
Thomas  Jones,software-engineering,102036,University of Cambridge,1782,10,133301;103066;
John  Dawson,software-engineering,102037,,,10,129421;129422;
Adam  Sedgwick,software-engineering,102043,University of Cambridge,1811,10,102036;102037;
Thomas  Jones,software-engineering,102036,University of Cambridge,1782,10,133301;103066;
John  Dawson,software-engineering,102037,,,10,129421;129422;
William  Hopkins,software-engineering,42016,University of Cambridge,1830,10,102043
Isaac  Todhunter,software-engineering,129420,University of Cambridge,1848,10,42016
William  Hopkins,software-engineering,42016,University of Cambridge,1830,10,102043
Adam  Sedgwick,software-engineering,102043,University of Cambridge,1811,10,102036;102037;
William  Hopkins,software-engineering,42016,University of Cambridge,1830,10,102043
Adam  Sedgwick,software-engineering,102043,University of Cambridge,1811,10,102036;102037;
Carl Friedrich Gauß,software-engineering,18231,Universität Helmstedt,1799,10,18230
Siméon Denis Poisson,software-engineering,17865,École Polytechnique,1800,10,108295;17864;
Jean-Baptiste Joseph Fourier,software-engineering,17981,École Normale Supérieure,ure,10,17864
Karl Christian von Langsdorf,software-engineering,47025,Georg-August-Universität Göttingen and Justus-Liebig-Universität Gießen and Universität Erfurt,1781,10,66476
Walter  Taylor,software-engineering,133368,University of Cambridge,1723,10,103068
Wolferd  Senguerdius,software-engineering,115155,Athenaeum Illustre Amsterdam,1666,10,115471
Burchard  de Volder,software-engineering,101858,Universiteit Utrecht,1660,10,101860;114945;
Johann Friedrich Gmelin,software-engineering,76485,Eberhard-Karls-Universität Tübingen,1768,10,76484;123957;
Nicolas Louis Vauquelin,software-engineering,158571,,,10,158735
Friedrich  Stromeyer,software-engineering,123979,Georg-August-Universität Göttingen,1800,10,76485;158571;
Abraham Gottlob Werner,software-engineering,124285,Universität Leipzig,1774,10,124490
René Just Haüy,software-engineering,124286,,D.,10,None
Friedrich  Stromeyer,software-engineering,123979,Georg-August-Universität Göttingen,1800,10,76485;158571;
Eilhard  Mitscherlich,software-engineering,123999,Georg-August-Universität Göttingen,1814,10,123979
Christian Samuel Weiss,software-engineering,66319,Universität Leipzig,1801,10,124285;124286;
Carl Johan  Malmsten,software-engineering,167682,Uppsala Universitet,1839,10,20543
Jöns  Svanberg,software-engineering,20543,Uppsala Universitet,1796,10,183360
Siméon Denis Poisson,software-engineering,17865,École Polytechnique,1800,10,108295;17864;
