Name,Specialization,ID,school,year,Generation,advisor_id
Karl Theodor Wilhelm Weierstraß,programming-languages,7486,Westfälische Wilhelms-Universität Münster,1841,9,29458
Heinrich Wilhelm Brandes,programming-languages,65162,Georg-August-Universität Göttingen,1800,9,66476;65161;
Friedrich Wilhelm Bessel,programming-languages,18603,Georg-August-Universität Göttingen,1810,9,18231
Bernhard Friedrich Thibaut,programming-languages,57667,Georg-August-Universität Göttingen,1796,9,66476;65161;
Nathaniel  Bowditch,programming-languages,147797,,,9,None
Bruno  Hildebrand,programming-languages,177156,Universität Breslau,1836,9,199699
Nathaniel  Bowditch,programming-languages,147797,,,10,None
Siméon Denis Poisson,programming-languages,17865,École Polytechnique,1800,10,108295;17864;
Adam  Sedgwick,programming-languages,102043,University of Cambridge,1811,10,102036;102037;
Adam  Sedgwick,programming-languages,102043,University of Cambridge,1811,10,102036;102037;
William  Hopkins,programming-languages,42016,University of Cambridge,1830,10,102043
Julius  Plücker,programming-languages,7402,Philipps-Universität Marburg,1823,10,29642
Rudolf Otto Sigismund Lipschitz,programming-languages,19964,Universität Berlin,1853,10,17946;47064;
Andreas  von Ettingshausen,programming-languages,113010,Universität Wien and Kaiserlich-königliche Technische Militärakademie,1817,10,128056
Franz Josef Ritter von Gerstner,programming-languages,96327,Karl-Ferdinand-Universität Prag,1776,10,143091;143129;
Bernard(us) Placidus Johann Nepomuk Bolzano,programming-languages,96330,University of Prague,1805,10,96327
Julius  Plücker,programming-languages,7402,Philipps-Universität Marburg,1823,10,29642
Rudolf Otto Sigismund Lipschitz,programming-languages,19964,Universität Berlin,1853,10,17946;47064;
Christian Ludwig Gerling,programming-languages,29642,Georg-August-Universität Göttingen,1812,10,18231
Gustav Peter Lejeune Dirichlet,programming-languages,17946,Rheinische Friedrich-Wilhelms-Universität Bonn,1827,10,17865;17981;
Martin  Ohm,programming-languages,47064,Friedrich-Alexander-Universität Erlangen-Nürnberg,1811,10,47025
Arthur  Cayley,programming-languages,7824,Universiteit Leiden and University College Dublin and University of Oxford,1875,10,42016
Edward John Routh,programming-languages,101929,University of Cambridge,1857,10,42016;129420;
Heinrich Ferdinand Scherk,programming-languages,25484,Universität Berlin,1823,10,65162;18603;
Christoph  Gudermann,programming-languages,29458,Georg-August-Universität Göttingen,1823,10,57667
Abraham Gotthelf Kästner,programming-languages,66476,Universität Leipzig,1739,10,57670
Georg Christoph Lichtenberg,programming-languages,65161,Georg-August-Universität Göttingen,1765,10,66476
Carl Friedrich Gauß,programming-languages,18231,Universität Helmstedt,1799,10,18230
Abraham Gotthelf Kästner,programming-languages,66476,Universität Leipzig,1739,10,57670
Georg Christoph Lichtenberg,programming-languages,65161,Georg-August-Universität Göttingen,1765,10,66476
Maximilian Wolfgang Duncker,programming-languages,199699,Humboldt-Universität zu Berlin,1834,10,229407;229406;
