Name,Specialization,ID,school,year,Generation,advisor_id
David Lorge Parnas,algorithms-and-complexity,86340,Carnegie Mellon University,1965,3,90571;13112;
Howard Hathaway Aiken,algorithms-and-complexity,18953,Harvard University,1939,3,25248
Albert William Tucker,algorithms-and-complexity,8581,Princeton University,1932,3,7461
Saunders  Mac Lane,algorithms-and-complexity,834,Georg-August-Universität Göttingen,1934,3,7863;7373;
Shaun  Wylie,algorithms-and-complexity,1406,Princeton University,1937,3,7461
Marvin Lee Minsky,algorithms-and-complexity,6869,Princeton University,1954,3,8581
Marvin Lee Minsky,algorithms-and-complexity,6869,Princeton University,1954,4,8581
Yuri Vladimirovich Linnik,algorithms-and-complexity,44401,St. Petersburg State University,1940,4,83078
Frigyes (Frédéric) Riesz,algorithms-and-complexity,11321,Eötvös Loránd University,1902,4,107016
Manuel  Blum,algorithms-and-complexity,13373,Massachusetts Institute of Technology,1964,4,6869
Howard Hathaway Aiken,algorithms-and-complexity,18953,Harvard University,1939,4,25248
Howard Hathaway Aiken,algorithms-and-complexity,18953,Harvard University,1939,4,25248
Albert William Tucker,algorithms-and-complexity,8581,Princeton University,1932,4,7461
"Hartley  Rogers, Jr.",algorithms-and-complexity,8021,Princeton University,1952,4,8011
Sheldon Shou-Lien Chang,algorithms-and-complexity,98916,Purdue University,1947,4,111345
Ernst Leonard Lindelöf,algorithms-and-complexity,782,Helsingin yliopisto,1893,4,143865
Eric Temple Bell,algorithms-and-complexity,7868,Columbia University,1912,4,37346;7611;
Joseph Leonard Walsh,algorithms-and-complexity,4929,Harvard University,1920,4,7431;5879;
Alfred North Whitehead,algorithms-and-complexity,78732,University of Cambridge,1884,4,101929
Alonzo  Church,algorithms-and-complexity,8011,Princeton University,1927,4,805
Morgan  Ward,algorithms-and-complexity,10385,California Institute of Technology,1928,4,7868
Howard Hathaway Aiken,algorithms-and-complexity,18953,Harvard University,1939,4,25248
Everard Mott Williams,algorithms-and-complexity,90571,Yale University,1939,4,252402
Alan Jay Perlis,algorithms-and-complexity,13112,Massachusetts Institute of Technology,1950,4,1488
Emory Leon Chaffee,algorithms-and-complexity,25248,Harvard University,1911,4,141987
Solomon  Lefschetz,algorithms-and-complexity,7461,Clark University,1911,4,7451
I.  Paul (Isaak) Bernays,algorithms-and-complexity,7863,Georg-August-Universität Göttingen,1912,4,7862
Hermann Claus Hugo Weyl,algorithms-and-complexity,7373,Georg-August-Universität Göttingen,1908,4,7298
Solomon  Lefschetz,algorithms-and-complexity,7461,Clark University,1911,4,7451
Albert William Tucker,algorithms-and-complexity,8581,Princeton University,1932,4,7461
Marvin Lee Minsky,algorithms-and-complexity,6869,Princeton University,1954,4,8581
Yuri Vladimirovich Linnik,algorithms-and-complexity,44401,St. Petersburg State University,1940,4,83078
Frigyes (Frédéric) Riesz,algorithms-and-complexity,11321,Eötvös Loránd University,1902,4,107016
Manuel  Blum,algorithms-and-complexity,13373,Massachusetts Institute of Technology,1964,4,6869
Howard Hathaway Aiken,algorithms-and-complexity,18953,Harvard University,1939,4,25248
Howard Hathaway Aiken,algorithms-and-complexity,18953,Harvard University,1939,4,25248
Albert William Tucker,algorithms-and-complexity,8581,Princeton University,1932,4,7461
"Hartley  Rogers, Jr.",algorithms-and-complexity,8021,Princeton University,1952,4,8011
Sheldon Shou-Lien Chang,algorithms-and-complexity,98916,Purdue University,1947,4,111345
Ernst Leonard Lindelöf,algorithms-and-complexity,782,Helsingin yliopisto,1893,4,143865
Eric Temple Bell,algorithms-and-complexity,7868,Columbia University,1912,4,37346;7611;
Joseph Leonard Walsh,algorithms-and-complexity,4929,Harvard University,1920,4,7431;5879;
Alfred North Whitehead,algorithms-and-complexity,78732,University of Cambridge,1884,4,101929
Alonzo  Church,algorithms-and-complexity,8011,Princeton University,1927,4,805
Morgan  Ward,algorithms-and-complexity,10385,California Institute of Technology,1928,4,7868
Howard Hathaway Aiken,algorithms-and-complexity,18953,Harvard University,1939,4,25248
Everard Mott Williams,algorithms-and-complexity,90571,Yale University,1939,4,252402
Alan Jay Perlis,algorithms-and-complexity,13112,Massachusetts Institute of Technology,1950,4,1488
Emory Leon Chaffee,algorithms-and-complexity,25248,Harvard University,1911,4,141987
Solomon  Lefschetz,algorithms-and-complexity,7461,Clark University,1911,4,7451
I.  Paul (Isaak) Bernays,algorithms-and-complexity,7863,Georg-August-Universität Göttingen,1912,4,7862
Hermann Claus Hugo Weyl,algorithms-and-complexity,7373,Georg-August-Universität Göttingen,1908,4,7298
Solomon  Lefschetz,algorithms-and-complexity,7461,Clark University,1911,4,7451
Albert William Tucker,algorithms-and-complexity,8581,Princeton University,1932,4,7461
Albert William Tucker,algorithms-and-complexity,8581,Princeton University,1932,5,7461
Vladimir Abramovich Tartakovski,algorithms-and-complexity,83078,St. Petersburg State University,1928,5,74408
Gyula  Vályi,algorithms-and-complexity,107016,,1881,5,90711
Marvin Lee Minsky,algorithms-and-complexity,6869,Princeton University,1954,5,8581
Emory Leon Chaffee,algorithms-and-complexity,25248,Harvard University,1911,5,141987
Emory Leon Chaffee,algorithms-and-complexity,25248,Harvard University,1911,5,141987
Solomon  Lefschetz,algorithms-and-complexity,7461,Clark University,1911,5,7451
Alonzo  Church,algorithms-and-complexity,8011,Princeton University,1927,5,805
Robert Peer Siskind,algorithms-and-complexity,111345,Harvard University,1925,5,None
Robert Hjalmar Mellin,algorithms-and-complexity,143865,Helsingin yliopisto,1882,5,19770
Cassius Jackson Keyser,algorithms-and-complexity,37346,Columbia University,1902,5,None
Frank Nelson Cole,algorithms-and-complexity,7611,Harvard University,1886,5,7401
Maxime  Bôcher,algorithms-and-complexity,7431,Georg-August-Universität Göttingen,1891,5,7401
George David Birkhoff,algorithms-and-complexity,5879,The University of Chicago,1907,5,806
Edward John Routh,algorithms-and-complexity,101929,University of Cambridge,1857,5,42016;129420;
Oswald  Veblen,algorithms-and-complexity,805,The University of Chicago,1903,5,806
Eric Temple Bell,algorithms-and-complexity,7868,Columbia University,1912,5,37346;7611;
Emory Leon Chaffee,algorithms-and-complexity,25248,Harvard University,1911,5,141987
Francis Thomas McNamara,algorithms-and-complexity,252402,Yale University,1924,5,None
Philip  Franklin,algorithms-and-complexity,1488,Princeton University,1921,5,805
George Washington Pierce,algorithms-and-complexity,141987,Harvard University,1900,5,67041
William Edward Story,algorithms-and-complexity,7451,Universität Leipzig,1875,5,32858;18589;
Edmund  Landau,algorithms-and-complexity,7862,Universität Berlin,1899,5,4642;11370;
David  Hilbert,algorithms-and-complexity,7298,Universität Königsberg,1885,5,7404
William Edward Story,algorithms-and-complexity,7451,Universität Leipzig,1875,5,32858;18589;
Solomon  Lefschetz,algorithms-and-complexity,7461,Clark University,1911,5,7451
Albert William Tucker,algorithms-and-complexity,8581,Princeton University,1932,5,7461
Vladimir Abramovich Tartakovski,algorithms-and-complexity,83078,St. Petersburg State University,1928,5,74408
Gyula  Vályi,algorithms-and-complexity,107016,,1881,5,90711
Marvin Lee Minsky,algorithms-and-complexity,6869,Princeton University,1954,5,8581
Emory Leon Chaffee,algorithms-and-complexity,25248,Harvard University,1911,5,141987
Emory Leon Chaffee,algorithms-and-complexity,25248,Harvard University,1911,5,141987
Solomon  Lefschetz,algorithms-and-complexity,7461,Clark University,1911,5,7451
Alonzo  Church,algorithms-and-complexity,8011,Princeton University,1927,5,805
Robert Peer Siskind,algorithms-and-complexity,111345,Harvard University,1925,5,None
