Name,Specialization,ID,school,year,Generation,advisor_id
John  Dawson,scientific-computation,102037,,,10,129421;129422;
Adam  Sedgwick,scientific-computation,102043,University of Cambridge,1811,10,102036;102037;
Thomas  Jones,scientific-computation,102036,University of Cambridge,1782,10,133301;103066;
John  Dawson,scientific-computation,102037,,,10,129421;129422;
Johann  Bernoulli,scientific-computation,53410,Universität Basel,1694,10,54440;129628;
Ehrenfried Walter von Tschirnhaus,scientific-computation,113719,Universiteit Leiden,1674,10,132725;101860;119293;
Gottfried Wilhelm Leibniz,scientific-computation,60985,Universität Leipzig,1666,10,137705;143859;125561;60984;
Christoph  Pfautz,scientific-computation,157308,Universität Leipzig,1663,10,157307
Jacob  Bernoulli,scientific-computation,54440,Universität Basel,1676,10,143011;143084;
Nikolaus  Eglinger,scientific-computation,129628,Universität Basel,1661,10,129708;125125;
Christian August Hausen,scientific-computation,57670,Martin-Luther-Universität Halle-Wittenberg,1713,10,72669;128986;
Johann Georg Büsch,scientific-computation,127668,Georg-August-Universität Göttingen,1752,10,208259;60782;
Johann Christoph Wichmannshausen,scientific-computation,72669,Universität Leipzig,1685,10,21235
Johann Andreas Planer,scientific-computation,128986,Martin-Luther-Universität Halle-Wittenberg,1686,10,128046;128938;
Christian August Hausen,scientific-computation,57670,Martin-Luther-Universität Halle-Wittenberg,1713,10,72669;128986;
Johann Friedrich Pfaff,scientific-computation,18230,Georg-August-Universität Göttingen,1786,10,66476;127710;
Pierre-Simon  Laplace,scientific-computation,108295,Université de Caen Normandie,1769,10,108266
Joseph Louis Lagrange,scientific-computation,17864,,ee,10,146036;38586;
Joseph Louis Lagrange,scientific-computation,17864,,ee,10,146036;38586;
Abraham Gotthelf Kästner,scientific-computation,66476,Universität Leipzig,1739,10,57670
Christian Ludwig Gerling,scientific-computation,29642,Georg-August-Universität Göttingen,1812,10,18231
Gustav Peter Lejeune Dirichlet,scientific-computation,17946,Rheinische Friedrich-Wilhelms-Universität Bonn,1827,10,17865;17981;
Martin  Ohm,scientific-computation,47064,Friedrich-Alexander-Universität Erlangen-Nürnberg,1811,10,47025
Thomas  Jones,scientific-computation,102036,University of Cambridge,1782,10,133301;103066;
John  Dawson,scientific-computation,102037,,,10,129421;129422;
Adam  Sedgwick,scientific-computation,102043,University of Cambridge,1811,10,102036;102037;
Thomas  Jones,scientific-computation,102036,University of Cambridge,1782,10,133301;103066;
John  Dawson,scientific-computation,102037,,,10,129421;129422;
